question,answer,label
어떤 개발자가 되고 싶나요?,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
어떤 개발자가 되고 싶나요?,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
본인의 장점은 무엇인가요?,저는 팀에서 백엔드를 맡아 배포까지 책임졌습니다. 그 경험으로 책임감을 키웠습니다.,continue
지원 동기를 말씀해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
단점을 어떻게 보완하고 있나요?,실패 경험을 바탕으로 항상 사전 테스트와 체크리스트를 만들고 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
자기소개 해주세요.,포부요? 잘 모르겠네요... 일단 들어가면 생각해보겠습니다.,terminate
지원 동기를 말씀해주세요.,실패한 적은 없었던 것 같아요.,terminate
본인의 장점은 무엇인가요?,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
문제를 해결한 경험이 있나요?,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
실패 경험이 있다면 말씀해주세요.,입사 후에는 초기에는 빠르게 학습하며 이후에는 주도적인 기여를 하고 싶습니다.,continue
자기소개 해주세요.,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
입사 후 포부를 말해주세요.,음... 특별한 건 없고 그냥 개발이 좋아서요.,terminate
단점을 어떻게 보완하고 있나요?,지원 동기는 제가 직접 써본 서비스였기 때문입니다. 개선 아이디어도 많이 생각해왔습니다.,continue
갈등 상황을 어떻게 해결했나요?,대학교에서 3개의 프로젝트를 진행했고 모두 기획부터 배포까지 경험했습니다.,continue
본인의 장점은 무엇인가요?,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
지원 동기를 말씀해주세요.,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
문제를 해결한 경험이 있나요?,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
갈등 상황을 어떻게 해결했나요?,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
자기소개 해주세요.,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
본인의 장점은 무엇인가요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
단점을 어떻게 보완하고 있나요?,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
문제를 해결한 경험이 있나요?,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
입사 후 포부를 말해주세요.,입사 후에는 초기에는 빠르게 학습하며 이후에는 주도적인 기여를 하고 싶습니다.,continue
자기소개 해주세요.,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
입사 후 포부를 말해주세요.,저는 단점이 많은데 굳이 하나를 꼽자면 게으른 편입니다.,terminate
단점을 어떻게 보완하고 있나요?,실패한 적은 없었던 것 같아요.,terminate
지원 동기를 말씀해주세요.,문제를 해결할 때 원인을 분석하고 팀원과 협업하여 해결한 경험이 있습니다.,continue
실패 경험이 있다면 말씀해주세요.,갈등 상황에서는 먼저 경청하고 상대방 입장에서 생각하려고 노력합니다.,continue
어떤 개발자가 되고 싶나요?,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
지원 동기를 말씀해주세요.,입사하면 시키는 거 열심히 하겠습니다.,terminate
자기소개 해주세요.,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
자기소개 해주세요.,React와 Spring Boot를 활용한 풀스택 프로젝트를 2회 진행했습니다.,continue
문제를 해결한 경험이 있나요?,저는 갈등이 생기면 그냥 넘기는 편입니다.,terminate
실패 경험이 있다면 말씀해주세요.,개발자가 되면 그냥 돈 잘 벌고 싶어요.,terminate
어떤 개발자가 되고 싶나요?,기술적으로 어려운 부분도 팀원과 Pair Programming으로 함께 해결했습니다.,continue
입사 후 포부를 말해주세요.,기술 블로그를 운영하며 꾸준히 기록하고 학습하는 개발자가 되고 싶습니다.,continue
