"다른 사람과 일할 때 본인이 신경 쓰는 부분은 무엇인가요?","히히 똥","terminate"
"지원 직무와 관련된 최근 이슈 중 관심 있게 본 것이 있다면?","요즘 AI가 핫해서 관련 뉴스 많이 보고 있습니다.","terminate"
"지원 직무와 관련된 최근 이슈 중 관심 있게 본 것이 있다면?","대형 언어 모델이 개인정보와 연계될 수 있다는 윤리 이슈에 대한 논쟁을 깊이 있게 살펴봤습니다.","continue"
"기억에 남는 프로젝트는 어떤 것이 있었나요?","다 기억에 남지만 특별히 떠오르는 건 없습니다.","terminate"
"기억에 남는 프로젝트는 어떤 것이 있었나요?","장애인 대상 웹 접근성 향상 프로젝트에서 실제 사용자 피드백을 받아 수정했던 경험이 가장 기억에 남습니다.","continue"
"기억에 남는 프로젝트는 어떤 것이 있었나요?","우따따따따따따","terminate"
"업무 처리 속도보다 더 중요한 것이 있다면 무엇이라고 생각하나요?","정확한 것도 중요하지만 저는 속도가 우선이라고 생각합니다.","terminate"
"업무 처리 속도보다 더 중요한 것이 있다면 무엇이라고 생각하나요?","속도보다는 안정성과 재사용성 확보가 우선이라는 점을 경험으로 체득했습니다.","continue"
"어떤 피드백이 본인의 성장에 영향을 줬나요?","좀 더 적극적으로 하라는 말을 들은 적이 있습니다.","terminate"
"어떤 피드백이 본인의 성장에 영향을 줬나요?","결과를 수치화하라는 피드백을 받고 모든 프로젝트에 지표를 추가했습니다.","continue"
"일정을 맞추기 위해 어떤 전략을 세우시나요?","그냥 무조건 빨리 하려고 노력합니다.","terminate"
"일정을 맞추기 위해 어떤 전략을 세우시나요?","오늘 날씨가 좋네요, 좋은하루 되세요 감기 조심하시구요 사랑해요","terminate"
"일정을 맞추기 위해 어떤 전략을 세우시나요?","우선순위와 작업량을 기준으로 일정 계획을 세우고, 병목 발생 시 조정 가능한 항목을 리스트업합니다.","continue"
"다른 사람과 일할 때 본인이 신경 쓰는 부분은 무엇인가요?","말을 너무 세게 하지 않으려고 노력합니다.","terminate"
"다른 사람과 일할 때 본인이 신경 쓰는 부분은 무엇인가요?","상대방의 역할과 스케줄을 먼저 파악하고, 의사소통 시 용어와 배경지식 수준을 고려하려고 합니다.","continue"
"팀워크를 발휘한 경험을 말씀해주세요.","같은 조의 친구들과 함께 과제를 하면서 협력했던 기억이 있습니다.","terminate"
"팀워크를 발휘한 경험을 말씀해주세요.","개발 중 백엔드-프론트 간 충돌이 있어 회의록을 정리하며 이슈를 정리했고, 결과적으로 프로젝트 마감 일정을 지킬 수 있었습니다.","continue"
"본인의 의사소통 방식은 어떤 편인가요?","어... 그냥 말하는 편입니다.","terminate"
"본인의 의사소통 방식은 어떤 편인가요?","객관적 근거와 감정 분리를 바탕으로 논리적인 구조로 전달하려고 합니다.","continue"
"최근 읽은 책이나 콘텐츠 중 인상 깊었던 것이 있다면?","책은 안 읽어요.","terminate"
"최근 읽은 책이나 콘텐츠 중 인상 깊었던 것이 있다면?","'넛지'를 읽으며 정책 설계에서 인간 행동을 어떻게 유도할 수 있는지에 대해 인사이트를 얻었습니다.","continue"
"자신이 맡은 일 중 가장 도전적이었던 경험은 무엇인가요?","군대요.","terminate"
"자신이 맡은 일 중 가장 도전적이었던 경험은 무엇인가요?","파랑 피크민이 좋아 빨강 피크민이 좋아? 키키키킼ㅋㅋ","terminate"
"자신이 맡은 일 중 가장 도전적이었던 경험은 무엇인가요?","서비스 기획과 프론트 구현을 동시에 맡아 일정 조율과 우선순위 판단이 필요했던 프로젝트가 있었습니다.","continue"
"직무 역량을 향상시키기 위해 평소 어떤 노력을 하고 계신가요?","유튜브나 블로그 보면서 틈틈이 공부하고 있어요.","terminate"
"직무 역량을 향상시키기 위해 평소 어떤 노력을 하고 계신가요?","한 달에 한 번씩 토이 프로젝트를 하고, 기술 블로그에 글을 남기며 학습한 내용을 정리하고 있습니다.","continue"
"주어진 업무 외에 자발적으로 시도한 활동이 있다면 말씀해주세요.","지시받은 일 외에는 잘 안 해봤습니다.","terminate"
"주어진 업무 외에 자발적으로 시도한 활동이 있다면 말씀해주세요.","아니 내가 어제 똥을 쌋는데 푸짐하게 쌋단말이야? ㅋㅋㅋㅋ 근데 개쩔게 싸서 이게 나라인가?? 싶었다가 똥!! 뿌짂!!! 히히힣","terminate"
"주어진 업무 외에 자발적으로 시도한 활동이 있다면 말씀해주세요.","고객 사용성 분석을 위해 로그 데이터를 기반으로 유입 경로를 시각화한 리포트를 자발적으로 제작했습니다.","continue"
"고객의 불만을 접했을 때 어떻게 대처했나요?","몰라요. 그냥 넘어갔어요.","terminate"
"고객의 불만을 접했을 때 어떻게 대처했나요?","CS업무 시 반복되는 민원 유형을 정리하고 매뉴얼화해, 이후 대응 속도와 정확도를 높였습니다.","continue"
"업무 중 예상치 못한 문제가 발생했을 때 어떻게 대처했나요?","예상치 못한 문제가 발생했을 때 저는 먼저 문제의 이유를 찾고, 분석하였습니다. 예를들어 팀프로젝트 중 문제가 발생했을 떄....","continue"
"시간이 부족한 프로젝트에서 어떻게 우선순위를 정하셨나요?","처음에는 모든 기능을 동시에 진행하려다 보니 진도가 안 나가더라고요. 그래서 팀원들과 회의를 통해 꼭 필요한 핵심 기능만 추려서 MoSCoW 기법으로 Must, Should, Could를 나누고, 남은 시간 안에 Must 기능부터 끝내자는 전략을 세웠습니다. 그 결과 필수 기능을 안정적으로 배포할 수 있었습니다.","continue"
