question,answer,label
"가장 최근에 배운 기술은 무엇인가요?","최근에는 Docker Compose를 이용한 서비스 통합 배포를 공부했습니다. 여러 컨테이너가 어떻게 네트워크로 연결되는지를 실습하며 이해도를 높였습니다.","continue"
"가장 최근에 배운 기술은 무엇인가요?","요즘 친구들이 다들 Docker 쓴다고 해서 저도 조금 봤습니다.","terminate"
"책을 자주 읽는 편인가요?","매일 30분씩 독서를 습관처럼 유지하고 있습니다. 최근에는 '왜 우리는 잠을 자야 할까'를 읽으며 수면이 작업 효율에 어떤 영향을 주는지 깊이 느꼈습니다.","continue"
"책을 자주 읽는 편인가요?","시간 날 때 가끔 읽습니다. 최근엔 자기계발서 위주로 봤던 것 같아요.","terminate"
"협업을 하며 기억에 남는 피드백이 있다면?","함께 일하던 팀원이 '기술만 보는 게 아니라 사람을 배려하는 방식이 좋다'고 말해줬는데, 이후부터는 더 적극적으로 소통하려고 노력했습니다.","continue"
"협업을 하며 기억에 남는 피드백이 있다면?","대체로 열심히 한다는 피드백을 들었던 것 같습니다.","terminate"
"기억에 남는 학교 수업이 있다면?","교육철학 수업에서 배운 '가르침은 존재를 깨운다'는 문장이 깊이 남아있습니다. 덕분에 지식을 단순히 전달하는 것을 넘어서고자 고민하게 됐습니다.","continue"
"기억에 남는 학교 수업이 있다면?","학교 수업은 전반적으로 무난했습니다. 특별히 기억에 남는 건 잘 모르겠습니다.","terminate"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","서로의 입장을 충분히 들은 후, 감정이 아닌 사실에 집중하려고 합니다. 최근엔 회의 중 의견 충돌이 있었지만, 문서로 정리해 조율한 경험이 있습니다.","continue"
"사람들과 갈등이 생겼을 때 어떻게 대처하시나요?","대체로 갈등을 피하려고 합니다. 저는 맞서는 걸 별로 좋아하지 않아서요.","terminate"
"자기 전 꼭 하는 루틴이 있다면?","하루를 돌아보는 일기와 다음날 할 일 정리를 꼭 합니다. 이 습관이 생긴 뒤로 하루의 밀도가 확실히 달라졌습니다.","continue"
"자기 전 꼭 하는 루틴이 있다면?","핸드폰 보다가 자는 편입니다. 습관은 따로 없는 것 같아요.","terminate"
"가장 인상 깊었던 여행지는 어디인가요?","아이슬란드의 골든서클을 방문했을 때, 자연이 만들어낸 거대한 스케일 앞에 겸손해졌던 기억이 납니다. 그때 찍은 사진은 아직도 제 배경화면입니다.","continue"
"가장 인상 깊었던 여행지는 어디인가요?","부산에 친구들이랑 다녀왔는데 재미있었습니다.","terminate"
"최근에 포기한 것이 있다면?","원래 대학원 진학을 준비했지만, 스스로 원하는 방향이 아니라는 걸 깨닫고 접었습니다. 대신 실무 경험을 통해 성장하기로 마음먹었습니다.","continue"
"최근에 포기한 것이 있다면?","운동을 하려다가 시간이 안 돼서 그만뒀어요.","terminate"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","계획을 세우면 끝까지 해내려는 끈기가 가장 자랑스럽습니다. 1년 간 매일 알고리즘 문제를 푼 기록이 있습니다.","continue"
"스스로를 평가할 때, 가장 자랑스러운 점은 무엇인가요?","그래도 괜찮은 사람인 것 같습니다. 주변 사람들도 그렇게 말해요.","terminate"
"창의적인 경험을 해본 적이 있나요?","음악과 기술을 융합한 미디어 아트를 기획한 적 있습니다. 관객의 움직임에 따라 소리가 변하는 인터랙티브 설치물을 구현했습니다.","continue"
"창의적인 경험을 해본 적이 있나요?","그림 그리는 걸 좋아합니다. 가끔 색다른 스타일로 그리곤 해요.","terminate"
"무언가를 가르쳐본 경험이 있다면?","정보소외 계층 아이들에게 코딩 교육을 한 적 있습니다. 알고리즘보다 ‘재미’를 우선했더니 참여도가 확 올라갔습니다.","continue"
"무언가를 가르쳐본 경험이 있다면?","동생 공부를 도와준 적은 있습니다. 잘 기억은 안 나지만요.","terminate"
"자신의 멘토가 있다면 누구인가요?","대학 시절 교수님이 제 멘토였습니다. 기술뿐 아니라 인생의 태도까지 배우게 해주셨던 분입니다.","continue"
"자신의 멘토가 있다면 누구인가요?","정해진 멘토는 없지만 좋은 말 하는 사람은 좋아합니다.","terminate"
"스트레스를 해소하는 나만의 방법이 있다면?","문제를 글로 정리하는 습관이 있습니다. 감정을 기록하면 정리가 되고, 다시 볼 때 제 자신을 객관적으로 보게 되더라고요.","continue"
"스트레스를 해소하는 나만의 방법이 있다면?","그냥 자거나 친구들 만나서 풀어요.","terminate"
"좋아하는 브랜드나 서비스가 있다면?","노션을 정말 좋아합니다. 단순한 메모를 넘어서 생각을 확장하고 정리하는 데 큰 도움이 되고 있어서 생산성이 올라갑니다.","continue"
"좋아하는 브랜드나 서비스가 있다면?","요즘은 다들 쿠팡 많이 쓰는 것 같아요. 저도 씁니다.","terminate"
"실패 이후의 회복력을 보여준 경험이 있다면?","해커톤 중 데이터베이스가 삭제되는 큰 실수를 했지만, 백업과 리팩토링으로 2시간 내에 복구해 마감할 수 있었습니다.","continue"
"실패 이후의 회복력을 보여준 경험이 있다면?","실패는 누구나 하잖아요. 저는 그냥 잊어버립니다.","terminate"
"자신이 영향을 준 사람이나 사례가 있다면?","과거 발표 공포증이 있는 친구가 있었는데, 제가 함께 자료를 준비하고 연습을 도와주며 발표를 무사히 마치게 된 일이 있었습니다.","continue"
"자신이 영향을 준 사람이나 사례가 있다면?","친구들한테 웃음을 주는 편이라 긍정적인 영향을 줄 수 있지 않을까요?","terminate"
"미래의 나에게 조언을 한다면?","지금처럼 생각 많고 불안해도 괜찮으니 계속 시도하고, 사람을 귀하게 여기라는 말을 해주고 싶습니다.","continue"
"미래의 나에게 조언을 한다면?","앞으로 잘 살았으면 좋겠다. 다 잘 될 거야.","terminate"
"최근에 스스로 기특했던 순간이 있다면?","한 달간 매일 오전 6시에 일어나 자기계발 시간을 가졌습니다. 그 작은 반복이 저를 더 나은 방향으로 끌어올렸다고 생각합니다.","continue"
"최근에 스스로 기특했던 순간이 있다면?","시험 공부를 조금 미리 했던 게 다행이었습니다.","terminate"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","성실보다 중요한 건 ‘신뢰’라고 생각합니다. 사람과 사람 사이에 신뢰가 있어야 진짜 협력이 가능하다고 믿습니다.","continue"
"현재 가장 중요하게 생각하는 가치는 무엇인가요?","성실한 게 제일 중요하다고 생각합니다. 당연한 거지만요.","terminate"
"시간 관리를 어떻게 하고 있나요?","타임블록 기반으로 하루를 구획하고, 주간 회고를 통해 실제 시간 사용과 계획의 괴리를 점검하고 있습니다.","continue"
"시간 관리를 어떻게 하고 있나요?","그냥 그때그때 정해서 움직이는 편이에요.","terminate"
"어떤 개발자가 되고 싶나요?","사용자에게 진정한 가치를 제공하는 개발자가 되고 싶습니다. 기술이 사람들의 삶을 더 나아지게 하는 데 기여하고 싶어요.","continue"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","매일 잠들기 전에 그날 감사했던 일을 한 가지씩 기록합니다. 짧지만 마음을 가다듬는 데 큰 도움이 됩니다.","continue"
"사소하지만 자신이 꾸준히 지켜온 습관이 있다면?","저는 매일 아침에 일어나자마자 핸드폰을 켜서 SNS를 확인합니다. 이게 일상이 되었고 하루가 시작됐다는 느낌을 줍니다.","terminate"
"리더십을 발휘했던 경험이 있나요?","해커톤에서 팀장이 되어 전체 일정과 리소스를 조율했습니다. 특히 프론트 개발자가 갑자기 빠진 상황에서 직접 프론트 일부를 도와 프로젝트를 끝까지 이끌었습니다.","continue"
"리더십을 발휘했던 경험이 있나요?","대학교 수업에서 조장을 맡은 적이 있습니다. 그때 친구들이랑 함께 PPT도 만들고 발표도 했습니다. 모두가 잘 해줬습니다.","terminate"
"자신의 성장을 위해 어떤 노력을 해왔나요?","정기적으로 돌아보는 회고 문화를 스스로 만들었습니다. 1주일마다 스스로에게 질문을 던지고 그에 대한 답을 문서로 남겨, 시행착오를 줄였습니다.","continue"
"자신의 성장을 위해 어떤 노력을 해왔나요?","잘 기억은 안 나지만, 항상 꾸준히 하려고 노력해왔습니다. 책도 읽고 강의도 듣고 그랬습니다.","terminate"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","오해를 푸는 데 시간과 에너지가 들어도 결국은 정리해두는 게 낫다고 생각합니다. 최근엔 프로젝트 중 제 역할에 대해 오해가 생겼지만, 직접 설명하면서 오히려 관계가 더 좋아졌습니다.","continue"
"다른 사람이 나를 오해했을 때 어떻게 행동하나요?","오해는 어차피 생기는 거고, 저는 별로 신경 안 씁니다. 알아서 풀리겠죠.","terminate"
"직무와 관련 없이 해본 활동 중 인상 깊었던 경험은?","고등학생 멘토링 프로그램에 참여해 진로 상담을 해준 적이 있습니다. 기술 외에도 인간적으로 연결될 수 있다는 점에서 큰 배움을 얻었습니다.","continue"
"직무와 관련 없이 해본 활동 중 인상 깊었던 경험은?","봉사활동 몇 번 해본 적 있습니다. 의미 있는 시간이었습니다.","terminate"
"내가 맡은 일에 대한 책임감을 어떻게 표현하나요?","작업 중 문제가 생겼을 때 먼저 리포트하고 대안을 제시하는 걸 중요하게 생각합니다. 책임은 피하는 게 아니라 분명히 나서서 감당하는 태도라고 생각합니다.","continue"
"내가 맡은 일에 대한 책임감을 어떻게 표현하나요?","일단 저는 제가 맡은 일은 열심히 합니다. 책임감은 기본이라고 생각합니다. 그걸 꼭 말로 표현할 필요는 없다고 봅니다.","terminate"
"스스로의 감정을 어떻게 다루는 편인가요?","감정을 억누르기보단 객관화하려고 노력합니다. 혼란스러울 땐 글을 써서 제 감정의 원인을 정리하고, 타인에게 전달할 수 있을 때만 공유합니다.","continue"
"스스로의 감정을 어떻게 다루는 편인가요?","감정은 표현해야 된다고 생각합니다. 저는 기분이 안 좋으면 바로 얼굴에 다 드러나는 편입니다.","terminate"
"요즘 가장 관심 있는 사회적 이슈는 무엇인가요?","AI 윤리 문제에 관심이 많습니다. 기술의 빠른 발전 속에서 개인 정보와 책임 소재가 명확히 구분되지 않는 상황이 자주 발생하고 있기 때문입니다.","continue"
"요즘 가장 관심 있는 사회적 이슈는 무엇인가요?","요즘 물가가 너무 올라서 힘든 것 같습니다. 세상이 너무 각박해졌어요.","terminate"
"자기 자신을 한 단어로 표현한다면?","'균형'이라고 생각합니다. 일과 삶, 집중과 여유 사이에서 균형을 유지하려는 태도가 저를 구성하는 핵심입니다.","continue"
"자기 자신을 한 단어로 표현한다면?","열정. 그냥 열정이라고 하면 다 설명되지 않을까요?","terminate"
"시간이 주어진다면 꼭 도전해보고 싶은 것이 있나요?","에너지 효율을 높이는 스마트팜 시스템을 개발해보고 싶습니다. 기술이 환경과 연결될 수 있다는 가능성이 저를 자극합니다.","continue"
"시간이 주어진다면 꼭 도전해보고 싶은 것이 있나요?","언젠가 유럽 여행을 가보고 싶습니다. 시간이 나면 꼭 가볼 생각입니다.","terminate"
"마지막으로 자신을 채용해야 하는 이유는 무엇이라고 생각하나요?","기술뿐 아니라 사람을 이해하려는 태도를 갖추고 있습니다. 조직에 필요한 조율자이자 기여자로 성장할 수 있는 사람입니다.","continue"
"마지막으로 자신을 채용해야 하는 이유는 무엇이라고 생각하나요?","저는 열심히 하고 배우는 자세로 임할 수 있습니다. 어떤 일이든 맡겨만 주세요.","terminate"
"당신은 어떤 방식으로 배우는 걸 선호하나요?","실제로 부딪혀보는 방식이 가장 효과적이라고 느낍니다. 이론보다는 실습 위주로 프로젝트를 먼저 해보고, 이후 이론을 채워넣는 방식으로 학습합니다.","continue"
"당신은 어떤 방식으로 배우는 걸 선호하나요?","유튜브로 많이 배웁니다. 그게 제일 보기 편하더라고요.","terminate"
"자신을 잘 설명해주는 문장이 있다면?","‘모르는 것을 두려워하지 않고, 아는 척하지 않는 사람.’ 이 문장이 저를 가장 잘 설명해준다고 생각합니다.","continue"
"자신을 잘 설명해주는 문장이 있다면?","'나는 나다.' 이 말이 제일 잘 어울리는 것 같아요.","terminate"
"자신의 가치관이 드러난 사건이 있다면?","편견을 가진 친구와 대화하다가, 그가 처한 환경을 이해하고 생각을 바꾼 경험이 있습니다. 그때 ‘모든 행동에는 맥락이 있다’는 제 가치관이 더 확고해졌습니다.","continue"
"자신의 가치관이 드러난 사건이 있다면?","음… 특별히 떠오르는 건 없지만, 저는 늘 올바르게 살려고 합니다.","terminate"
"가장 최근에 깊이 고민했던 주제가 있다면?","‘내가 만드는 기술이 사람을 배려하고 있는가?’라는 질문을 최근 프로젝트 내내 붙잡고 있었습니다.","continue"
"가장 최근에 깊이 고민했던 주제가 있다면?","뭘 먹을지 고민했던 기억이 납니다. 요즘은 고민할 일이 별로 없어요.","terminate"
"최근에 관심을 가지게 된 분야가 있다면?","요즘 들어 이것저것 관심 가는 게 많아지고 있어요. 특히 인공지능이나 블록체인 같은 신기술이 매일 쏟아지다 보니까 뭐가 뭔지 잘 모르겠지만, 그만큼 알아가야 할 것도 많다는 생각이 듭니다.","terminate"
"최근에 관심을 가지게 된 분야가 있다면?","데이터 기반 의사결정에 관심이 생겨서 관련 프로젝트에 참여해보고 싶습니다.","continue"
"어떤 환경에서 가장 집중이 잘 되시나요?","집중은 사실 상황 따라 다른 것 같아요. 조용할 때도 좋고, 카페처럼 소음이 있을 때도 의외로 집중이 잘 되기도 하고요. 특별히 정해진 패턴은 없고, 그냥 그날 컨디션에 따라 달라지는 편입니다.","terminate"
"어떤 환경에서 가장 집중이 잘 되시나요?","타이머를 사용해 25분씩 집중하는 방식이 제일 잘 맞습니다.","continue"
"어떤 상황에서 성취감을 느끼시나요?","무언가를 완전히 마무리했을 때 확실히 성취감을 느끼는 것 같긴 합니다. 예를 들면 시험을 잘 보거나, 프로젝트를 끝냈을 때 그런 감정을 받는 것 같아요. 하지만 사실 요즘엔 그런 걸 잘 느끼지 못하고 있습니다.","terminate"
"어떤 상황에서 성취감을 느끼시나요?","처음엔 막막했던 일을 스스로 해결했을 때 큰 만족을 느낍니다.","continue"
"최근에 기억에 남는 뉴스가 있다면?","요즘엔 뉴스를 자주 보진 않지만, 얼마 전에 본 뉴스 중에서 기억나는 건… 뭔가 날씨 관련된 거였던 것 같고, 계속 더워진다고 하더라고요. 그래서 환경 문제가 심각하다는 생각이 들었습니다.","terminate"
"최근에 기억에 남는 뉴스가 있다면?","미국 대선 후보 간 토론을 보며 표현의 방식이 미치는 영향에 대해 생각하게 됐습니다.","continue"
"요즘 어떤 방식으로 자기관리를 하고 계신가요?","사실 자기관리를 엄청 체계적으로 하고 있는 건 아닌데, 가끔 헬스장 가고, 주말에는 조금이라도 책을 보려고 노력하고 있어요. 밥은 제때 먹으려고 하고 있고요.","terminate"
"요즘 어떤 방식으로 자기관리를 하고 계신가요?","주 3회 이상 규칙적인 운동과 일일 회고 작성을 실천하고 있습니다.","continue"
"삶에서 중요하게 여기는 원칙이 있다면?","원칙이라고 하면 조금 거창하지만, 그냥 남한테 피해는 주지 말자는 생각은 항상 갖고 있어요. 다들 각자 사정이 있으니까 웬만하면 이해하려고 하고요.","terminate"
"삶에서 중요하게 여기는 원칙이 있다면?","책임질 수 있는 말만 하자는 것이 제 원칙입니다.","continue"
"혼자만의 시간을 어떻게 보내시나요?","혼자 있으면 주로 유튜브 보거나, 폰 만지면서 시간을 보내는 편이에요. 가끔 책도 보긴 하는데, 요즘은 그것도 잘 못하고 있는 것 같아요.","terminate"
